,type_incidents,eu_media,all_sources,month
0,Ransomware,0.111111111,0.094594595,All months
1,Hijacking w/o Misuse,0.0,0.243243243,All months
2,Hijacking w/ Misuse,0.111111111,0.486486486,All months
3,Disruption,0.555555556,0.378378378,All months
4,Data theft & Doxing,0.333333333,0.121621622,All months
5,Data theft,0.111111111,0.364864865,All months
6,Ransomware,0.0,0.058823529,November
7,Hijacking w/o Misuse,0.0,0.294117647,November
8,Hijacking w/ Misuse,0.0,0.647058824,November
9,Disruption,1.0,0.588235294,November
10,Data theft,0.0,0.294117647,November
11,Ransomware,0.0,0.033333333,October
12,Hijacking w/o Misuse,0.0,0.233333333,October
13,Hijacking w/ Misuse,0.0,0.4,October
14,Disruption,0.6,0.4,October
15,Data theft & Doxing,0.0,0.1,October
16,Data theft,0.2,0.366666667,October
17,Ransomware,0.333333333,0.192307692,September
18,Hijacking w/o Misuse,0.0,0.230769231,September
19,Hijacking w/ Misuse,0.333333333,0.5,September
20,Disruption,0.333333333,0.230769231,September
21,Data theft & Doxing,1.0,0.230769231,September
22,Data theft,0.0,0.384615385,September
23,Data theft,0.0,1.0,August
